,gameid,GameDate,ab,pitchnum,inning,teambat,balls,strikes,outs,pitcher,pitcherthrows,batter,batterside,pitchresult,pitchresult_desc,eventtype,pitchname,pitchname_desc,spinrate,relspeed,horzbreak,inducedvertbreak,platelocside,platelocheight,hometeam_id,Home,awayteam_id,Visitor,venue_id,venue_name
278818,2023/06/14/phimlb-arimlb-1,6/15/2023 1:40,58,2,8.0,0,0.0,1.0,2.0,"Adams, Austin",R,"Realmuto, J.T.",R,B,Ball - Called,stolen_base_2b,SL,Slider,3227.314209,88.11993408,-9.649276733,-2.161261797,-0.973764062,2.704536438,109,Arizona Diamondbacks,143,Philadelphia Phillies,15,Chase Field
278819,2023/06/14/phimlb-arimlb-1,6/15/2023 1:40,58,3,8.0,0,1.0,1.0,2.0,"Adams, Austin",R,"Realmuto, J.T.",R,B,Ball - Called,ball,SL,Slider,3208.241211,88.2100296,-10.52553844,-3.744559765,-0.339484334,1.550865889,109,Arizona Diamondbacks,143,Philadelphia Phillies,15,Chase Field
278820,2023/06/14/phimlb-arimlb-1,6/15/2023 1:40,58,4,8.0,0,2.0,1.0,2.0,"Adams, Austin",R,"Realmuto, J.T.",R,B,Ball - Called,ball,SL,Slider,3016.614014,89.26943207,-7.883375168,-3.385296345,1.832087278,1.609116435,109,Arizona Diamondbacks,143,Philadelphia Phillies,15,Chase Field
278821,2023/06/14/phimlb-arimlb-1,6/15/2023 1:40,58,5,8.0,0,3.0,1.0,2.0,"Adams, Austin",R,"Realmuto, J.T.",R,F,Strike - Foul,foul,SL,Slider,3188.620605,85.65646362,-8.973419189,-3.977486134,-0.15283744,2.8417418,109,Arizona Diamondbacks,143,Philadelphia Phillies,15,Chase Field
278822,2023/06/14/phimlb-arimlb-1,6/15/2023 1:40,58,6,8.0,0,3.0,2.0,2.0,"Adams, Austin",R,"Realmuto, J.T.",R,X,Hit Into Play - Out(s),field_out,SL,Slider,3226.527588,88.47184753,-6.343828201,-2.404004812,-1.055950999,2.234445572,109,Arizona Diamondbacks,143,Philadelphia Phillies,15,Chase Field
279325,2023/08/02/phimlb-miamlb-1,8/2/2023 22:40,47,1,6.0,0,0.0,0.0,1.0,"Okert, Steven",L,"Schwarber, Kyle",L,B,Ball - Called,ball,FF,Four-seam FB,2329.916748,94.26480865,-11.87751102,14.4220047,-1.799800396,1.818649888,146,Miami Marlins,143,Philadelphia Phillies,4169,loanDepot park
279326,2023/08/02/phimlb-miamlb-1,8/2/2023 22:40,47,2,6.0,0,1.0,0.0,1.0,"Okert, Steven",L,"Schwarber, Kyle",L,B,Ball - Called,ball,FF,Four-seam FB,2398.868652,93.92926025,-10.06094933,14.91711617,-1.031249762,1.323642731,146,Miami Marlins,143,Philadelphia Phillies,4169,loanDepot park
279327,2023/08/02/phimlb-miamlb-1,8/2/2023 22:40,47,3,6.0,0,2.0,0.0,1.0,"Okert, Steven",L,"Schwarber, Kyle",L,*B,Ball - Ball In Dirt,blocked_ball,FF,Four-seam FB,2368.560303,93.90298462,-10.7543993,14.9023037,-1.376683593,0.972895324,146,Miami Marlins,143,Philadelphia Phillies,4169,loanDepot park
279328,2023/08/02/phimlb-miamlb-1,8/2/2023 22:40,47,4,6.0,0,3.0,0.0,1.0,"Okert, Steven",L,"Schwarber, Kyle",L,X,Hit Into Play - Out(s),field_out,FF,Four-seam FB,2238.879883,93.85098267,-9.322747231,14.11493111,-0.332952172,2.52439785,146,Miami Marlins,143,Philadelphia Phillies,4169,loanDepot park
279329,2023/08/02/phimlb-miamlb-1,8/2/2023 22:40,48,1,6.0,0,0.0,0.0,2.0,"Okert, Steven",L,"Bohm, Alec",R,B,Ball - Called,ball,SL,Slider,2429.599365,82.30460358,6.14588356,7.031992912,1.421501517,3.351056576,146,Miami Marlins,143,Philadelphia Phillies,4169,loanDepot park
279731,2023/08/02/phimlb-miamlb-1,8/2/2023 22:40,50,5,6.0,0,2.0,2.0,2.0,"Okert, Steven",L,"Castellanos, Nicholas",R,S,Strike - Swinging,strikeout,SL,Slider,2413.757813,81.79388428,2.211067677,11.47419167,0.086392798,2.528024673,146,Miami Marlins,143,Philadelphia Phillies,4169,loanDepot park
279732,2023/08/02/phimlb-miamlb-1,8/2/2023 22:40,50,4,6.0,0,1.0,2.0,2.0,"Okert, Steven",L,"Castellanos, Nicholas",R,*B,Ball - Ball In Dirt,blocked_ball,SL,Slider,2523.552246,82.87268066,8.338356018,13.12029839,-1.432552814,0.970928431,146,Miami Marlins,143,Philadelphia Phillies,4169,loanDepot park
279733,2023/08/02/phimlb-miamlb-1,8/2/2023 22:40,50,3,6.0,0,1.0,1.0,2.0,"Okert, Steven",L,"Castellanos, Nicholas",R,C,Strike - Called,called_strike,FF,Four-seam FB,2283.724121,92.4076004,-11.03524399,15.53935051,-0.396191478,1.845992804,146,Miami Marlins,143,Philadelphia Phillies,4169,loanDepot park
279774,2023/08/02/phimlb-miamlb-1,8/2/2023 22:40,50,2,6.0,0,1.0,0.0,2.0,"Okert, Steven",L,"Castellanos, Nicholas",R,S,Strike - Swinging,swinging_strike,SL,Slider,2504.71875,83.60027313,8.935441971,5.229958057,-0.54049176,2.013353109,146,Miami Marlins,143,Philadelphia Phillies,4169,loanDepot park
279775,2023/08/02/phimlb-miamlb-1,8/2/2023 22:40,50,1,6.0,0,0.0,0.0,2.0,"Okert, Steven",L,"Castellanos, Nicholas",R,B,Ball - Called,ball,FF,Four-seam FB,2286.455566,94.30448914,-8.858669281,14.50050735,-2.3159163,1.895777583,146,Miami Marlins,143,Philadelphia Phillies,4169,loanDepot park
